MSFT_Date,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Adj Close,MSFT_Volume,AMZN_Date,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Adj Close,AMZN_Volume,META_Date,META_Open,META_High,META_Low,META_Close,META_Adj Close,META_Volume,GOOG_Date,GOOG_Open,GOOG_High,GOOG_Low,GOOG_Close,GOOG_Adj Close,GOOG_Volume,AAPL_Date,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Adj Close,AAPL_Volume
12/8/21,335.309998,335.5,330.799988,334.970001,332.795654,24761000,12/8/21,176.150497,177.179993,174.750504,176.158005,176.158005,45254000,12/8/21,325,332.75,323.070007,330.559998,330.559998,19937700,12/8/21,148.331497,149.156494,147.199997,148.720505,148.720505,18964000,12/8/21,172.130005,175.960007,170.699997,175.080002,174.069733,116998900
12/9/21,334.410004,336.48999,332.119995,333.100006,330.937775,22214200,12/9/21,175.75,176.969498,174.139496,174.171005,174.171005,46062000,12/9/21,329.540009,336.130005,328,329.820007,329.820007,16879200,12/9/21,148.175995,149.604996,147.529007,148.106003,148.106003,18580000,12/9/21,174.910004,176.75,173.919998,174.559998,173.552734,108923700
12/10/21,334.980011,343,334.790009,342.540009,340.316528,38095700,12/10/21,175.417007,175.927002,170.5,172.212006,172.212006,60690000,12/10/21,332.559998,335.029999,326.369995,329.75,329.75,14528000,12/10/21,149.100006,149.399994,147.357498,148.675003,148.675003,21634000,12/10/21,175.210007,179.630005,174.690002,179.449997,178.41452,115402700
12/13/21,340.679993,343.790009,339.079987,339.399994,337.196869,28899400,12/13/21,172,172.100006,169.130005,169.567505,169.567505,62170000,12/13/21,330.950012,341.089996,329.589996,334.48999,334.48999,22948700,12/13/21,148.444,148.5625,146.360001,146.704498,146.704498,24104000,12/13/21,181.119995,182.130005,175.529999,175.740005,174.725937,153237000
12/14/21,333.220001,334.640015,324.109985,328.339996,326.208679,44438700,12/14/21,167.550003,169.498993,166.440002,169.091507,169.091507,55976000,12/14/21,328.049988,335.700012,327.649994,333.73999,333.73999,20461000,12/14/21,144.770004,145.442001,142.242493,144.970505,144.970505,24778000,12/14/21,175.25,177.740005,172.210007,174.330002,173.324066,139380400
12/15/21,328.609985,335.190002,324.5,334.649994,332.477722,35381100,12/15/21,168.598007,173.600006,165.195007,173.315002,173.315002,75794000,12/15/21,332.48999,342.109985,323.980011,341.660004,341.660004,24681300,12/15/21,144.365997,147.517242,142.705505,147.3685,147.3685,27280000,12/15/21,175.110001,179.5,172.309998,179.300003,178.265396,131063300
12/16/21,335.709991,336.76001,323.019989,324.899994,322.791016,35034800,12/16/21,173.3685,174.166,168.160507,168.871002,168.871002,60876000,12/16/21,338.980011,344.459991,333.73999,334.899994,334.899994,22635000,12/16/21,148.076996,148.551498,144.092499,144.838501,144.838501,27400000,12/16/21,179.279999,181.139999,170.75,172.259995,171.265991,150185800
12/17/21,320.880005,324.920013,317.25,323.799988,321.698151,47750300,12/17/21,167.710495,170.898499,165.613495,170.017502,170.017502,85542000,12/17/21,332.799988,337.109985,330.75,333.790009,333.790009,40012600,12/17/21,142.714493,144.460098,141.787994,142.802994,142.802994,43404000,12/17/21,169.929993,173.470001,169.690002,171.139999,170.152466,195432700
12/20/21,320.049988,322.799988,317.570007,319.910004,317.833405,28326500,12/20/21,166.850006,167.874496,165.600006,167.078995,167.078995,57372000,12/20/21,329.779999,329.899994,322.529999,325.450012,325.450012,17901800,12/20/21,140.679596,142.610504,140.25,142.401505,142.401505,20264000,12/20/21,168.279999,170.580002,167.460007,169.75,168.770493,107499100
12/21/21,323.290009,327.730011,319.799988,327.290009,325.165497,24740600,12/21/21,167.850494,170.716507,165.647507,170.417007,170.417007,55956000,12/21/21,326.410004,336,323.75,334.200012,334.200012,16116800,12/21/21,143.149994,144.692047,141.735001,144.220505,144.220505,19548000,12/21/21,171.559998,173.199997,169.119995,172.990005,171.991791,91185900
12/22/21,328.299988,333.609985,325.75,333.200012,331.03717,24831500,12/22/21,169.270004,172.050003,168.500504,171.037003,171.037003,55036000,12/22/21,333.799988,334.51001,328.26001,330.450012,330.450012,16764600,12/22/21,144.100006,147.302994,143.962997,146.949005,146.949005,18438000,12/22/21,173.039993,175.860001,172.149994,175.639999,174.626495,92135300
12/23/21,332.75,336.390015,332.730011,334.690002,332.517456,19617800,12/23/21,170.427994,171.975006,170.149994,171.068497,171.068497,36788000,12/23/21,330.100006,336.670013,328.359985,335.23999,335.23999,13987700,12/23/21,147.089493,148.572601,146.950851,147.142502,147.142502,13818000,12/23/21,175.850006,176.850006,175.270004,176.279999,175.262802,68356600
12/27/21,335.459991,342.480011,335.429993,342.450012,340.227112,19947000,12/27/21,171.037003,172.942993,169.2155,169.669495,169.669495,58688000,12/27/21,338.850006,347.869995,338.01001,346.179993,346.179993,17795000,12/27/21,147.463501,148.426498,147.25,148.063995,148.063995,13256000,12/27/21,177.089996,180.419998,177.070007,180.330002,179.289459,74919600
12/28/21,343.149994,343.809998,340.320007,341.25,339.034882,15661500,12/28/21,170.182495,172.175995,169.135498,170.660995,170.660995,54638000,12/28/21,346.630005,352.709991,345.200012,346.220001,346.220001,16637600,12/28/21,148.374496,148.374496,145.935501,146.447998,146.447998,18624000,12/28/21,180.160004,181.330002,178.529999,179.289993,178.255432,79144300
12/29/21,341.299988,344.299988,339.679993,341.950012,339.730377,15042000,12/29/21,170.839996,171.212006,168.600494,169.201004,169.201004,35754000,12/29/21,346.910004,349.690002,341.640015,342.940002,342.940002,10747000,12/29/21,146.429504,147.183746,145.504501,146.504501,146.504501,17022000,12/29/21,179.330002,180.630005,178.139999,179.380005,178.344925,62348900
12/30/21,341.910004,343.130005,338.820007,339.320007,337.117432,15994500,12/30/21,169.699997,170.888,168.524002,168.644501,168.644501,37584000,12/30/21,344,347.230011,343.220001,344.359985,344.359985,10593300,12/30/21,146.449997,147.0625,145.758499,146.002502,146.002502,12978000,12/30/21,179.470001,180.570007,178.089996,178.199997,177.171738,59773000
12/31/21,338.51001,339.359985,335.850006,336.320007,334.136902,18000800,12/31/21,168.955994,169.350006,166.558502,166.716995,166.716995,47830000,12/31/21,343.019989,343.440002,336.269989,336.350006,336.350006,12870500,12/31/21,145.544006,146.365005,144.677505,144.679504,144.679504,17298000,12/31/21,178.089996,179.229996,177.259995,177.570007,176.54538,64062300
1/3/22,335.350006,338,329.779999,334.75,332.577087,28865100,1/3/22,167.550003,170.703506,166.160507,170.404495,170.404495,63520000,1/3/22,338.299988,341.079987,337.190002,338.540009,338.540009,14537900,1/3/22,144.475494,145.550003,143.502502,145.074493,145.074493,25214000,1/3/22,177.830002,182.880005,177.710007,182.009995,180.959747,104487900
1/4/22,334.829987,335.200012,326.119995,329.01001,326.874359,32674300,1/4/22,170.438004,171.399994,166.349503,167.522003,167.522003,70726000,1/4/22,339.950012,343.089996,331.869995,336.529999,336.529999,15998000,1/4/22,145.550507,146.610001,143.816147,144.416504,144.416504,22928000,1/4/22,182.630005,182.940002,179.119995,179.699997,178.663071,99310400
1/5/22,325.859985,326.070007,315.980011,316.380005,314.326355,40054300,1/5/22,166.882996,167.126495,164.356995,164.356995,164.356995,64302000,1/5/22,333.019989,335.76001,323.839996,324.170013,324.170013,20564500,1/5/22,144.181,144.298004,137.523499,137.653503,137.653503,49642000,1/5/22,179.610001,180.169998,174.639999,174.919998,173.91066,94537600
1/6/22,313.149994,318.700012,311.48999,313.880005,311.84256,39646100,1/6/22,163.4505,164.800003,161.936996,163.253998,163.253998,51958000,1/6/22,322.820007,339.170013,322.720001,332.459991,332.459991,27962800,1/6/22,137.497498,139.686005,136.763504,137.550995,137.550995,29050000,1/6/22,172.699997,175.300003,171.639999,172,171.007507,96904000
1/7/22,314.149994,316.5,310.089996,314.040009,312.001526,32720000,1/7/22,163.839005,165.2435,162.031006,162.554001,162.554001,46606000,1/7/22,332.73999,337,328.880005,331.790009,331.790009,14722000,1/7/22,137.904999,138.254745,135.789001,137.004501,137.004501,19408000,1/7/22,172.889999,174.139999,171.029999,172.169998,171.176544,86709100
1/10/22,309.48999,314.720001,304.690002,314.269989,312.230042,44289500,1/10/22,160.585495,161.661499,156.304504,161.485992,161.485992,87798000,1/10/22,325.309998,328.339996,315.429993,328.070007,328.070007,24942400,1/10/22,135.098999,138.639999,133.140503,138.574005,138.574005,34096000,1/10/22,169.080002,172.5,168.169998,172.190002,171.196411,106765600
1/11/22,313.380005,316.609985,309.890015,314.980011,312.935455,29386800,1/11/22,161.5,166.350006,160.701508,165.362,165.362,62806000,1/11/22,326.779999,334.630005,325.279999,334.369995,334.369995,16226800,1/11/22,138.180496,140.329498,136.813507,140.017502,140.017502,23502000,1/11/22,172.320007,175.179993,170.820007,175.080002,174.069733,76138300
1/12/22,319.670013,323.410004,317.079987,318.269989,316.204041,34372200,1/12/22,166.574997,166.878006,164.417007,165.207001,165.207001,50030000,1/12/22,335.179993,336.369995,330.029999,333.26001,333.26001,14104900,1/12/22,141.554504,142.814255,141.112,141.647995,141.647995,23642000,1/12/22,176.119995,177.179993,174.820007,175.529999,174.517136,74805200
1/13/22,320.470001,320.880005,304,304.799988,302.821503,45366000,1/13/22,165.250504,166.221497,161.091003,161.214005,161.214005,52188000,1/13/22,334.980011,335.630005,325.76001,326.480011,326.480011,14797100,1/13/22,141.8405,143.185501,138.914001,139.130997,139.130997,26566000,1/13/22,175.779999,176.619995,171.789993,172.190002,171.196411,84505800
1/14/22,304.25,310.820007,303.75,310.200012,308.186462,39846400,1/14/22,160.149994,162.25,159.800507,162.138,162.138,45974000,1/14/22,321.790009,332.730011,321.209991,331.899994,331.899994,16868500,1/14/22,137.5,141.2005,137.5,139.786499,139.786499,23826000,1/14/22,171.339996,173.779999,171.089996,173.070007,172.07135,80440800
1/18/22,304.070007,309.799988,301.73999,302.649994,300.685455,42333200,1/18/22,159.104996,159.734497,157.664505,158.917496,158.917496,67292000,1/18/22,323.290009,324.209991,317.640015,318.149994,318.149994,22645600,1/18/22,136.600006,137.391495,135.617004,136.290497,136.290497,27382000,1/18/22,171.509995,172.539993,169.410004,169.800003,168.820206,90956700
1/19/22,306.290009,313.910004,302.700012,303.329987,301.360992,45933900,1/19/22,158.761993,159.25,156.25,156.298996,156.298996,53242000,1/19/22,319.579987,327.100006,319.329987,319.589996,319.589996,20814700,1/19/22,136.938507,138.399506,135.5,135.651993,135.651993,20796000,1/19/22,170,171.080002,165.940002,166.229996,165.270813,94815000
1/20/22,309.070007,311.649994,301.140015,301.600006,299.642242,35380700,1/20/22,156.766006,158,151.350998,151.667496,151.667496,71974000,1/20/22,323.899994,327.820007,315.980011,316.559998,316.559998,16925000,1/20/22,136.514008,137.912003,133.144501,133.5065,133.5065,21930000,1/20/22,166.979996,169.679993,164.179993,164.509995,163.560715,91420500
1/21/22,302.690002,304.109985,295.609985,296.029999,294.108429,57984400,1/21/22,149.949997,150.899994,142.070496,142.643005,142.643005,163972000,1/21/22,314.809998,318.309998,303.040009,303.170013,303.170013,28710700,1/21/22,133.011993,134.760498,130.001007,130.091995,130.091995,41920000,1/21/22,164.419998,166.330002,162.300003,162.410004,161.472839,122848900
